target_id,model,type,category
1,"Infantry AK",INFANTRY,HELICOPTER
2,"Paratrooper RPG-16",INFANTRY,HELICOPTER
3,"Igla manpad INS",MANPADS,HELICOPTER
4,"Soldier AK",INFANTRY,HELICOPTER
5,T-55,TANK,HELICOPTER
6,"Osa 9A33 ln",SAM,HELICOPTER
7,"Infantry AK Ins",INFANTRY,HELICOPTER
8,"Soldier RPG",INFANTRY,HELICOPTER
9,Sandbox,FORTIFICATION,HELICOPTER
10,BTR-80,APC,HELICOPTER
11,"Ural-375 ZU-23",AAA,HELICOPTER
12,BRDM-2,APC,HELICOPTER
13,"ZSU-23-4 Shilka",AAA,HELICOPTER
14,Cobra,APC,HELICOPTER
16,M-2000C,FIGHTER,HELICOPTER
17,"p-19 s-125 sr",SAM_RADAR,HELICOPTER
18,BMP-2,IFV,HELICOPTER
19,"Strela-1 9P31",SAM,HELICOPTER
20,BMP-1,IFV,HELICOPTER
24,"FARP Tent",NULL,SHIP
25,T-72B,TANK,HELICOPTER
27,"Soldier stinger",MANPADS,HELICOPTER
28,"2S6 Tunguska",SAM,HELICOPTER
29,"Ural-4320 APA-5D",TRUCK,HELICOPTER
30,Ural-375,TRUCK,HELICOPTER
31,SKP-11,TRUCK,HELICOPTER
32,HARRIERHL,NULL,SHIP
33,"SA-11 Buk LN 9A310M1",SAM,HELICOPTER
34,UAZ-469,CAR,HELICOPTER
35,ATZ-10,TRUCK,HELICOPTER
36,"SA-11 Buk CC 9S470M1",SAM_CC,HELICOPTER
37,HARRIER_DISPERSAL_HIDE,NULL,SHIP
38,BFVG-HARRIER-GndCrew1,NULL,SHIP
39,HARRIERTROL,NULL,SHIP
40,"SA-11 Buk SR 9S18M1",SAM_RADAR,HELICOPTER
41,E-2C,AWACS,HELICOPTER
42,"coach a passenger",NULL,SHIP
43,GAZ-66,TRUCK,HELICOPTER
44,MiG-21Bis,FIGHTER,HELICOPTER
45,L-39ZA,FIGHTER,HELICOPTER
46,F/A-18C,MULTIROLE,HELICOPTER
47,"electric locomotive",NULL,SHIP
48,"coach cargo open",NULL,SHIP
49,"coach cargo",NULL,SHIP
50,"Coach a tank blue",NULL,SHIP
51,"coach a platform",NULL,SHIP
52,"Coach a tank yellow",NULL,SHIP
53,T-90,TANK,HELICOPTER
54,"Ural-375 ZU-23 Insurgent",AAA,HELICOPTER
58,"1L13 EWR",EWR,HELICOPTER
59,AH-64A,ATTACK_HELO,HELICOPTER
60,Mi-8MT,TRANSPORT_HELO,HELICOPTER
61,AAV7,APC,HELICOPTER
62,LAV-25,APC,HELICOPTER
63,"M1045 HMMWV TOW",APC,HELICOPTER
64,Su-25,STRIKER,HELICOPTER
65,Vulcan,AAA,HELICOPTER
66,"M 818",TRUCK,HELICOPTER
73,"M1097 Avenger",SAM,HELICOPTER
74,"HEMTT TFFT",TRUCK,HELICOPTER
76,"Kub 2P25 ln",SAM,HELICOPTER
77,"Kub 1S91 str",SAM_RADAR,HELICOPTER
78,AV8BNA,STRIKER,HELICOPTER
79,".Command Center",NULL,SHIP
80,"Stinger comm",MANPADS,HELICOPTER
81,"Soldier M249",INFANTRY,HELICOPTER
82,"Soldier M4",INFANTRY,HELICOPTER
